turkish,english
"Gece geç vakte kadar oturma odasında tek başıma, ne yapacağımı bilmeden vakit geçirdim.","I sat alone in my study until late that night, at a loss for what to do."
Fatih yirmi sene yaşasaydı biz şimdi belki de rönesansı vaktinde idrak etmiş bir millet olurduk.,"Had Sultan Mehmet reigned for twenty more years, perhaps today we’d be a nation that had lived the Renaissance in its time."
— Silâhları olmadığı için bir şey yapamıyorlar.,“They do not defend themselves at all; they have no arms.” “No arms?”
"Hayata karşı direnmenin, kendini, o küçük savaşımında daha güçlü bilmenin bir başka biçimiydi bu belki.",This might be interpreted as another way of putting up with life and of convincing oneself of being superior in strength.
- Burada olsaydınız belki önüne geçerdiniz…,"“If you’d been here, perhaps you could have stopped this.”"
"Berti’nin o gün, o sabah, o anlarda yaşadıkları benim için biraz da bu yüzden çok büyük bir anlam taşıyor.","On that account, Berti’s experiences that day, that morning, are highly relevant to me."
"""Ne dedi?""",“What did he say?”
Bu adamlara bu kahvenin adresini kim vermişti?,Who had given these men the address of our coffeehouse?
"Uzun, çok uzun bir hikâyeye doğru ilerlediğimi söyleme gereksinimi duymuştum sonra.",I felt compelled to avow that I had been heading for a long story.
"Yazık ki, ben Halit Ayarcı değildim.",But sadly I wasn’t Halit Ayarci.
"Bu birkaç saatlik gezinti, fırtınalı ve karlı gecede burnunu bir lahza kapıdan çıkarmak gibi, ona bir yığın şeyi birden öğretmişti.","This two- or three-hour journey, like poking one’s nose out into the dark night of a snowstorm, had quickly informed him of a number of circumstances."
"""Ester korkuyorum,"" dedi.","“Esther, I’m afraid,” she said."
"Önce, Hoca beni Padişah'tan uzak tutmak istemişti, ama gösteri başlayınca, emirleri onun kadar benim de verdiğimi, adamlarımızın, Hoca kadar, bana da sorduklarını görünce merak etmiş.","Hoja had wanted to keep me away from the sultan at first but when the display began and the sovereign saw that I gave the orders as often as Hoja, that our men looked to me as much as to him, he became curious."
